id,insurer_id,relationship
70001,40184,child
70002,40092,friend
70003,40233,spouse
70004,40058,spouse
70005,40088,friend
70006,40170,child
70007,40194,parent
70008,40079,spouse
70009,40466,sibling
70010,40061,child
70011,40413,spouse
70012,40237,spouse
70013,40273,friend
70014,40484,parent
70015,40317,friend
70016,40371,child
70017,40384,child
70018,40273,parent
70019,40217,child
70020,40391,sibling
70021,40337,sibling
70022,40453,sibling
70023,40249,child
70024,40523,child
70025,40063,parent
70026,40485,child
70027,40281,spouse
70028,40132,friend
70029,40135,spouse
70030,40124,child
70031,40408,parent
70032,40449,sibling
70033,40402,sibling
70034,40128,spouse
70035,40097,friend
70036,40485,spouse
70037,40330,parent
70038,40526,parent
70039,40274,spouse
70040,40390,parent
70041,40076,friend
70042,40270,parent
70043,40241,spouse
70044,40050,friend
70045,40156,sibling
70046,40435,sibling
70047,40428,sibling
70048,40409,parent
70049,40297,child
70050,40341,spouse
70051,40126,parent
70052,40100,spouse
70053,40430,sibling
70054,40486,sibling
70055,40097,parent
70056,40273,parent
70057,40345,parent
70058,40365,parent
70059,40407,sibling
70060,40269,friend
70061,40311,spouse
70062,40388,friend
70063,40504,spouse
70064,40388,child
70065,40350,parent
70066,40264,child
70067,40276,friend
70068,40123,parent
70069,40280,parent
70070,40267,spouse
70071,40490,sibling
70072,40571,spouse
70073,40238,spouse
70074,40139,spouse
70075,40264,child
70076,40202,friend
70077,40154,sibling
70078,40201,parent
70079,40335,child
70080,40141,sibling
70081,40244,sibling
70082,40402,parent
70083,40537,parent
70084,40369,spouse
70085,40245,sibling
70086,40169,sibling
70087,40271,friend
70088,40211,parent
70089,40483,sibling
70090,40178,friend
70091,40269,parent
70092,40255,friend
70093,40130,friend
70094,40477,parent
70095,40177,friend
70096,40284,friend
70097,40247,spouse
70098,40560,child
70099,40331,sibling
70100,40282,friend
70101,40552,spouse
70102,40404,friend
70103,40554,spouse
70104,40131,friend
70105,40257,parent
70106,40444,parent
70107,40198,child
70108,40519,parent
70109,40520,child
70110,40508,sibling
70111,40485,sibling
70112,40152,spouse
70113,40438,friend
70114,40183,spouse
70115,40460,child
70116,40508,spouse
70117,40511,sibling
70118,40385,sibling
70119,40515,child
70120,40457,sibling
70121,40357,friend
70122,40304,child
70123,40492,child
70124,40502,friend
70125,40422,friend
70126,40140,child
70127,40439,friend
70128,40457,sibling
70129,40406,child
70130,40162,spouse
70131,40291,child
70132,40534,child
70133,40599,sibling
70134,40282,child
70135,40234,sibling
70136,40494,spouse
70137,40601,spouse
70138,40605,spouse
70139,40456,spouse
70140,40525,child
70141,40289,sibling
70142,40370,sibling
70143,40325,spouse
70144,40152,spouse
70145,40578,sibling
70146,40269,child
70147,40595,friend
70148,40428,sibling
70149,40589,sibling
70150,40393,spouse
70151,40231,sibling
70152,40206,sibling
70153,40246,spouse
70154,40156,friend
70155,40212,child
70156,40470,friend
70157,40562,parent
70158,40528,parent
70159,40400,child
70160,40341,child
70161,40186,spouse
70162,40275,spouse
70163,40359,sibling
70164,40385,spouse
70165,40255,parent
70166,40413,spouse
70167,40643,spouse
70168,40346,friend
70169,40606,sibling
70170,40271,parent
70171,40214,sibling
70172,40667,spouse
70173,40344,child
70174,40201,friend
70175,40330,spouse
70176,40639,friend
70177,40640,friend
70178,40377,parent
70179,40371,spouse
70180,40276,child
70181,40668,parent
70182,40360,spouse
70183,40343,spouse
70184,40555,parent
70185,40369,sibling
70186,40640,spouse
70187,40434,sibling
70188,40331,sibling
70189,40341,parent
70190,40686,spouse
70191,40583,friend
70192,40608,spouse
70193,40309,sibling
70194,40498,sibling
70195,40678,parent
70196,40654,spouse
70197,40623,child
70198,40212,spouse
70199,40624,sibling
70200,40513,sibling
70201,40546,parent
70202,40360,sibling
70203,40637,parent
70204,40368,child
70205,40509,sibling
70206,40454,spouse
70207,40612,friend
70208,40346,parent
70209,40438,sibling
70210,40425,parent
70211,40553,sibling
70212,40597,spouse
70213,40310,spouse
70214,40260,child
70215,40639,child
70216,40466,sibling
70217,40465,parent
70218,40445,sibling
70219,40441,parent
70220,40461,sibling
70221,40651,spouse
70222,40272,friend
70223,40290,parent
70224,40496,spouse
70225,40244,sibling
70226,40325,friend
70227,40664,sibling
70228,40560,sibling
70229,40368,spouse
70230,40314,friend
70231,40261,sibling
70232,40427,spouse
70233,40312,spouse
70234,40341,friend
70235,40359,child
70236,40592,sibling
70237,40257,sibling
70238,40263,parent
70239,40257,parent
70240,40519,friend
70241,40415,sibling
70242,40658,sibling
70243,40256,spouse
70244,40334,child
70245,40534,friend
70246,40637,child
70247,40412,child
70248,40651,parent
70249,40324,child
70250,40486,child
70251,40459,spouse
70252,40330,friend
70253,40410,child
70254,40307,friend
70255,40481,parent
70256,40303,sibling
70257,40629,child
70258,40697,spouse
70259,40755,friend
70260,40408,sibling
70261,40346,sibling
70262,40585,spouse
70263,40405,child
70264,40295,friend
70265,40524,sibling
70266,40573,parent
70267,40706,friend
70268,40438,parent
70269,40342,friend
70270,40425,parent
70271,40297,parent
70272,40497,parent
70273,40637,child
70274,40410,friend
70275,40770,spouse
70276,40512,parent
70277,40598,sibling
70278,40479,parent
70279,40689,spouse
70280,40537,friend
70281,40606,sibling
70282,40701,sibling
70283,40289,friend
70284,40466,child
70285,40454,sibling
70286,40310,friend
70287,40678,spouse
70288,40313,parent
70289,40455,friend
70290,40658,child
70291,40702,child
70292,40526,spouse
70293,40715,parent
70294,40523,sibling
70295,40303,spouse
70296,40673,friend
70297,40763,sibling
70298,40647,friend
70299,40775,friend
70300,40681,sibling
70301,40645,friend
70302,40346,sibling
70303,40458,child
70304,40545,friend
70305,40477,parent
70306,40657,parent
70307,40478,sibling
70308,40431,friend
70309,40486,spouse
70310,40400,spouse
70311,40475,parent
70312,40323,parent
70313,40546,child
70314,40537,friend
70315,40435,parent
70316,40389,friend
70317,40578,spouse
70318,40533,child
70319,40320,child
70320,40526,friend
70321,40672,spouse
70322,40432,friend
70323,40560,child
70324,40474,spouse
70325,40339,sibling
70326,40753,sibling
70327,40725,spouse
70328,40477,spouse
70329,40544,sibling
70330,40382,parent
70331,40350,sibling
70332,40791,friend
70333,40762,parent
70334,40361,spouse
70335,40615,child
70336,40375,friend
70337,40634,sibling
70338,40339,parent
70339,40748,friend
70340,40632,child
70341,40378,child
70342,40412,friend
70343,40491,parent
70344,40503,spouse
70345,40768,child
70346,40450,friend
70347,40547,child
70348,40393,spouse
70349,40810,child
70350,40379,friend
70351,40440,child
70352,40820,spouse
70353,40499,child
70354,40370,parent
70355,40804,sibling
70356,40446,child
70357,40775,sibling
70358,40584,sibling
70359,40637,friend
70360,40465,friend
70361,40525,sibling
70362,40540,spouse
70363,40765,parent
70364,40560,spouse
70365,40539,sibling
70366,40530,parent
70367,40576,friend
70368,40521,spouse
70369,40764,spouse
70370,40561,child
70371,40384,spouse
70372,40492,child
70373,40661,spouse
70374,40584,parent
70375,40443,child
70376,40815,parent
70377,40719,friend
70378,40416,child
70379,40722,friend
70380,40826,parent
70381,40535,friend
70382,40677,spouse
70383,40407,sibling
70384,40749,friend
70385,40689,sibling
70386,40452,sibling
70387,40561,parent
70388,40694,spouse
70389,40556,parent
70390,40875,spouse
70391,40740,sibling
70392,40643,child
70393,40575,child
70394,40757,child
70395,40857,parent
70396,40461,sibling
70397,40498,sibling
70398,40853,sibling
70399,40632,parent
70400,40847,child
70401,40774,spouse
70402,40745,friend
70403,40492,sibling
70404,40693,spouse
70405,40901,sibling
70406,40645,friend
70407,40873,child
70408,40672,parent
70409,40835,child
70410,40547,sibling
70411,40577,friend
70412,40779,sibling
70413,40612,friend
70414,40722,friend
70415,40485,sibling
70416,40911,spouse
70417,40435,spouse
70418,40452,friend
70419,40710,sibling
70420,40715,sibling
70421,40593,spouse
70422,40755,spouse
70423,40896,parent
70424,40865,friend
70425,40698,parent
70426,40853,spouse
70427,40753,child
70428,40545,parent
70429,40529,parent
70430,40518,sibling
70431,40671,parent
70432,40639,friend
70433,40575,friend
70434,40819,spouse
70435,40676,spouse
70436,40642,sibling
70437,40627,parent
70438,40668,parent
70439,40446,child
70440,40573,friend
70441,40772,friend
70442,40470,spouse
70443,40528,child
70444,40700,friend
70445,40677,friend
70446,40723,child
70447,40722,parent
70448,40535,friend
70449,40778,child
70450,40633,parent
70451,40617,sibling
70452,40886,child
70453,40933,sibling
70454,40603,child
70455,40884,parent
70456,40476,friend
70457,40704,parent
70458,40487,spouse
70459,40618,sibling
70460,40891,parent
70461,40667,child
70462,40690,parent
70463,40648,friend
70464,40559,friend
70465,40524,friend
70466,40694,parent
70467,40658,sibling
70468,40966,friend
70469,40541,spouse
70470,40893,friend
70471,40535,child
70472,40860,spouse
70473,40928,parent
70474,40936,sibling
70475,40558,friend
70476,40772,parent
70477,40562,sibling
70478,40782,child
70479,40655,spouse
70480,40889,child
70481,40604,parent
70482,40818,parent
70483,40873,friend
70484,40889,friend
70485,40938,spouse
70486,40772,friend
70487,40931,friend
70488,40548,child
70489,40789,spouse
70490,40601,parent
70491,40619,child
70492,40856,parent
70493,40513,sibling
70494,40648,child
70495,40715,spouse
70496,40799,parent
70497,40969,sibling
70498,40875,sibling
70499,40941,sibling
70500,40919,parent
70501,40890,friend
70502,40680,friend
70503,40606,parent
70504,40836,friend
70505,40505,spouse
70506,40518,spouse
70507,40902,sibling
70508,40910,friend
70509,40547,parent
70510,40904,child
70511,40936,sibling
70512,40950,spouse
70513,40684,sibling
70514,40859,sibling
70515,40717,parent
70516,40985,sibling
70517,40832,friend
70518,40539,spouse
70519,40558,child
70520,40611,sibling
70521,40944,sibling
70522,40694,spouse
70523,40554,parent
70524,40915,parent
70525,40653,sibling
70526,40615,parent
70527,40709,friend
70528,40679,parent
70529,40607,sibling
70530,40940,spouse
70531,40747,child
70532,40929,friend
70533,40778,parent
70534,40589,friend
70535,40709,child
70536,40763,spouse
70537,40673,spouse
70538,40709,sibling
70539,40850,sibling
70540,41028,friend
70541,41028,sibling
70542,40568,child
70543,40561,spouse
70544,40628,parent
70545,40859,parent
70546,40769,parent
70547,40919,spouse
70548,40659,friend
70549,40658,spouse
70550,40778,spouse
70551,41051,child
